date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:51:15	154886/154886	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Nov%202021%2022:51:14%20GMT	https://cochonfluo.com/category/video	~/Desktop/cfluo/cochonfluo.com/category/video.html	(from https://cochonfluo.com/page/3)
23:51:16	172379/172379	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Nov%202021%2022:51:15%20GMT	https://cochonfluo.com/author/cochonfluo/page/3	~/Desktop/cfluo/cochonfluo.com/author/cochonfluo/page/3.html	(from https://cochonfluo.com/author/cochonfluo/page/2)
23:51:16	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2004%20Nov%202021%2022:51:16%20GMT	https://cochonfluo.com/author/cochonfluo/	~/Desktop/cfluo/cochonfluo.com/author/cochonfluo/index.html	(from https://cochonfluo.com/author/cochonfluo/page/2)
23:51:17	6100/6100	---MC-	200	added ('OK')	application/json	date:Thu,%2004%20Nov%202021%2022:51:16%20GMT	https://cochonfluo.com/wp-json/wp/v2/posts/149	~/Desktop/cfluo/cochonfluo.com/wp-json/wp/v2/posts/149.json	(from https://cochonfluo.com/la-dictature-des-couilles)
23:51:18	2469/2469	---MC-	200	added ('OK')	application/json	date:Thu,%2004%20Nov%202021%2022:51:17%20GMT	https://cochonfluo.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcochonfluo.com%2Fla-dictature-des-couilles	~/Desktop/cfluo/cochonfluo.com/wp-json/oembed/1.0/embedd042.json	(from https://cochonfluo.com/la-dictature-des-couilles)
23:51:18	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2004%20Nov%202021%2022:51:18%20GMT	https://cochonfluo.com/?p=149	~/Desktop/cfluo/cochonfluo.com/index8bc8.html	(from https://cochonfluo.com/la-dictature-des-couilles)
23:51:19	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2004%20Nov%202021%2022:51:19%20GMT	https://cochonfluo.com/wp-content/webpc-passthru.php?src=https://cochonfluo.com/wp-content/uploads/2020/12/le-diktat-du-testicule-950x500.jpg&nocache=1	~/Desktop/cfluo/cochonfluo.com/wp-content/webpc-passthruafd3.php	(from https://cochonfluo.com/la-dictature-des-couilles)
23:51:19	2600/2600	---MC-	200	added ('OK')	text/xml	date:Thu,%2004%20Nov%202021%2022:51:18%20GMT	https://cochonfluo.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcochonfluo.com%2Fla-dictature-des-couilles&format=xml	~/Desktop/cfluo/cochonfluo.com/wp-json/oembed/1.0/embedeb7d	(from https://cochonfluo.com/la-dictature-des-couilles)
23:51:20	29441/29441	---M--	200	added ('OK')	image/jpeg	etag:%227301-5b9fabe795593%22	https://cochonfluo.com/wp-content/uploads/2020/12/le-diktat-du-testicule-950x500.jpg	~/Desktop/cfluo/cochonfluo.com/wp-content/uploads/2020/12/le-diktat-du-testicule-950x500.jpg	(from https://cochonfluo.com/la-dictature-des-couilles)
23:51:22	4067/4067	---MC-	200	added ('OK')	application/json	date:Thu,%2004%20Nov%202021%2022:51:21%20GMT	https://cochonfluo.com/wp-json/wp/v2/posts/205	~/Desktop/cfluo/cochonfluo.com/wp-json/wp/v2/posts/205.json	(from https://cochonfluo.com/bouche-a-bouche-a-bouda)
